User name,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,2020-09-04T15:06:38Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,49.37.7.227,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",86d94610-81ae-4cd1-9b60-51a93231b45b,dbc7b534-3941-4006-8b12-abd96450d45e,false,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:06:38Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-1,49.37.7.227,console.amazonaws.com,,[],3d153443-f982-4492-838c-6ca14c29e9d6,e4b07726-2bf2-4ed8-b2cd-4d042777f52c,true,AwsApiCall,252023501523,
,2020-09-04T15:06:37Z,s3.amazonaws.com,GetBucketAcl,us-east-1,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,,[],D4D4E841DD0597CE,0d08e528-8730-4a4c-a2a9-a32e1a4e81ff,true,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:06:37Z,s3.amazonaws.com,CreateBucket,us-east-1,49.37.7.227,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.841 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.262-b10 java/1.8.0_262 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-trail-newlogs""}]",27BD9776820599BA,72b63187-7643-4c54-812e-dcc94023844b,false,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:06:37Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,49.37.7.227,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.841 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.262-b10 java/1.8.0_262 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-trail-newlogs""}]",578759549E26AF45,75a10ac2-bafc-4efc-97b8-89b4ea2e1fd1,false,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:53Z,lambda.amazonaws.com,ListFunctions20150331,us-east-1,49.37.7.227,console.amazonaws.com,,[],c3b288c2-578a-4ce5-9a7b-f30345a9ac5d,1df22a36-edd7-4c41-9e0b-c3149d9ea9fd,,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:53Z,sns.amazonaws.com,ListTopics,us-east-1,49.37.7.227,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.841 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.262-b10 java/1.8.0_262 vendor/Oracle_Corporation",,[],964f6a56-5978-55f0-a061-3d9a00ad2051,2bc98386-c646-47af-958c-37105a61b000,,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:53Z,kms.amazonaws.com,ListKeys,us-east-1,49.37.7.227,console.amazonaws.com,,[],01e51a8b-36ba-4cf0-b939-544060c33e2f,7bf8a390-39fc-438e-901b-b710063d6c77,true,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:53Z,kms.amazonaws.com,ListAliases,us-east-1,49.37.7.227,console.amazonaws.com,,[],0e174da3-6f00-4121-b8d6-35abcdb2b5bc,80b9d376-87f3-4f2b-8247-58d0cc4d298c,true,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:53Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,49.37.7.227,console.amazonaws.com,,[],c7b2e990-7298-487b-a521-7fae3de373ac,b196442a-be00-49fd-bf4f-a7d9d23a2977,true,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:53Z,organizations.amazonaws.com,DescribeOrganization,us-east-1,49.37.7.227,console.amazonaws.com,AccessDenied,[],eeba65ac-b207-410b-b115-cf707907bce5,f04246f5-6ae9-4e82-97f4-a065696b89fe,,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:45Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,49.37.7.227,console.amazonaws.com,,[],97ce7a5f-ba1e-4011-9a66-289a6d238be0,a5a2f0d7-3c8e-413d-8389-a67ff3bade58,true,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:45Z,health.amazonaws.com,DescribeEventAggregates,us-east-1,49.37.7.227,console.amazonaws.com,AccessDenied,[],b9e1a690-c1ce-4407-8c60-ca0228558724,b436852c-56c2-4149-8625-4323d8c332fc,,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:45Z,config.amazonaws.com,DescribeConfigurationRecorders,us-east-1,49.37.7.227,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.841 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.262-b10 java/1.8.0_262 vendor/Oracle_Corporation",AccessDenied,[],7a82878d-28f3-434e-bffd-876edc0979e4,f5f868ba-752c-4e34-8fa0-dd3539aa3c36,,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:44Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,49.37.7.227,console.amazonaws.com,,[],520582c6-fd7a-4947-b782-114a431a5916,b7281c5e-551b-4a65-80fd-e376bf932a4f,true,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:39Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,49.37.7.227,console.amazonaws.com,,[],312fbfe0-b86a-4296-9457-f3b7c02b6e4b,4548dc8f-de31-4050-975a-a8dcf127b3f9,true,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:04:39Z,s3.amazonaws.com,ListBuckets,us-east-1,49.37.7.227,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.841 Linux/4.9.217-0.1.ac.205.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.262-b10 java/1.8.0_262 vendor/Oracle_Corporation]",,[],3501E9AA2522CEE3,8f69516d-8fb8-4de0-ae6a-38ecd2cd0f13,true,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:03:55Z,organizations.amazonaws.com,DescribeOrganization,us-east-1,49.37.7.227,console.amazonaws.com,AccessDenied,[],2b0cfd70-b752-43bc-ae58-46444c342d9d,8d8bfe8f-0f8f-41b4-9f9c-4217d193e6c8,,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:03:55Z,health.amazonaws.com,DescribeEventAggregates,us-east-1,49.37.7.227,console.amazonaws.com,AccessDenied,[],aa35b9a1-2056-4053-affa-b21c59bbf190,9cfc1da1-ae0f-4874-a2a5-a7e72ad01417,,AwsApiCall,252023501523,
CloudTrail,2020-09-04T15:03:49Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,49.37.7.227,console.amazonaws.com,,[],e28d581d-0bb0-4d9c-8404-e5300b76744d,7fff0a2c-dc62-4b88-8e18-a1e92c0017f7,true,AwsApiCall,252023501523,
